AREACD,AREANM,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,yr12,yr13,yr14
E07000135,Oadby and Wigston,928.7,1034.7,990.2,937.1,929.3,929.3,893.2,877.7,827.3,853.1,777.6,752.5,772.4,771.0
E07000136,Boston,1091.7,1086,989.9,984.5,998.1,969.2,1080.9,918.9,968.6,913.5,877.3,855.3,927.3,867.1
E07000137,East Lindsey,1022.2,994.3,1042,1043,964.4,1020.3,936,948.4,967,940.8,932.7,891.8,927,901.9
E07000138,Lincoln,984.8,1088.5,1168.1,1042.4,1030.3,1063.9,1068.2,1058.7,939.9,947,878.8,950.8,954.2,877.1
E07000139,North Kesteven,1103,992.7,1112.8,1022.9,923.9,843.2,894.9,909.7,850.6,805.4,817.8,853.3,744.2,738.2
E07000140,South Holland,1032.2,1021,980.4,1026.6,872.1,868.9,978.7,953.1,852.8,853,775.5,854.9,845.4,828.4
E07000141,South Kesteven,948.8,967.9,934,880.3,915,981.7,931.1,934.8,829.4,789.7,801.9,794.6,794.6,750.1
E07000142,West Lindsey,1039.4,1051.4,1051.7,932.5,1067.9,940.2,934,930.4,865.5,813.6,878,860.7,867.4,724.2
E07000143,Breckland,941.8,1056.7,1000.3,938,903,948.5,905.7,868.8,870.3,853.3,849.9,823.3,870.2,820.6
E07000144,Broadland,966.9,1089.4,939.4,916.6,973.3,908.7,855.4,873.9,919.4,839.9,803.7,753,799,715.5
E07000145,Great Yarmouth,1087.1,979.1,945.4,1016.9,950,1024.8,937.2,1005.2,982.7,910.5,928.9,895.6,911.5,882.8
E07000146,King's Lynn and West Norfolk,951.6,959.8,1011.9,946.8,888.1,880.7,911,874.4,780.4,806,796,790.2,841.9,744.9
E07000147,North Norfolk,910.8,952.1,942.1,872.4,814.4,760.6,740,785.8,739.4,726.2,698.6,747.1,737.7,736.7
E07000148,Norwich,853.3,943.9,872.3,908.1,825.9,854.1,820.3,878.7,814.5,769.4,779.9,773,791.8,803.2
E07000149,South Norfolk,872.3,850.5,883.9,886.6,810.5,797.6,856,832,802.3,830.5,723.3,717.1,727,724.4
E07000150,Corby,1159.4,1243.8,1147.9,1096.9,1160.9,1175.8,963.4,1119.8,1008,1198.9,1080.7,997.6,1059,941.0
E07000151,Daventry,994.8,967.6,960.7,978.7,896.3,1009.1,952.6,911.9,844.8,819.6,797.6,929.7,912.2,824.9
E07000152,East Northamptonshire,1010.2,1083.5,982.8,1046.9,1091.8,976.9,979.3,1026.2,942.5,909.2,821.1,817.8,758.7,824.4
E07000153,Kettering,931.1,1040.4,1110.3,1016,1041.1,937.6,945.4,944.3,896.5,906.9,831.1,848.8,863.5,790.8
E07000154,Northampton,1028.5,1071.6,1040.1,1032.6,997.7,966.6,998,925.6,932.3,913.1,948.1,968.4,893.7,864.7
E07000155,South Northamptonshire,917.9,960.8,1013.5,875.5,863.7,956.1,758.1,852.3,803.2,753.8,766.3,753.4,723.3,708.4
E07000156,Wellingborough,1017,1062.7,978.6,954.1,912.6,938.4,876.3,853.2,930.7,820.2,823.2,764.8,821.5,823.2
E07000163,Craven,990,865.3,931.2,843.9,845.7,842.6,883.1,799.1,807.5,793.5,731.6,774.5,769.5,707.9
E07000164,Hambleton,938.9,1009,918.8,893.1,789.5,846.4,817.4,838,787.5,667.6,709.7,706.9,780.7,658.1
E07000165,Harrogate,909.7,922,965,922.8,855.5,877.6,911.5,894.4,781.6,791.2,806.3,791.6,678.4,794.4
E07000166,Richmondshire,983.3,903.6,1004.1,891.5,1054.5,935.1,885.1,875.3,842.9,871,879.4,888.2,820.7,838.7
E07000167,Ryedale,818,922.3,957.4,932.7,816.7,794.7,925.5,839.7,757.9,838,845.3,851,893.6,645.4
E07000168,Scarborough,982.2,1018.3,1037.5,964.1,962.9,978,898.5,957.6,875.8,922.5,926.5,878.4,888.1,823.7
E07000169,Selby,1029,1035.1,1023.3,900,895.1,925.4,994.8,861.3,838.5,868.2,768.9,911.7,802.3,781.2
E07000170,Ashfield,1163.2,1213.8,1192.8,1129.9,1078.8,1022.4,1107,1059.1,1022.8,1035,942.4,965.6,918.5,936.6
E07000171,Bassetlaw,1134.8,1106.8,1103.2,1145.5,1068,1043.3,1009.2,1077.4,1002.1,964.7,879.2,938.8,913.6,900.6
E07000172,Broxtowe,1087.9,980.9,1064.1,918.1,952.7,936.3,932.4,910.7,859.2,851.5,861.9,827,860.1,831.0
